nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1984.47,2104.2,2083.87,2054.11,4142.79,4745.75,7265.45,6536.87,4.59814,2.21287,0.286837,-0.133095,-0.998806,256.133,-0.138615
1982.57,2103.02,2080.59,2049.95,5013.32,5300.98,6539.16,7390.43,3.66174,2.26703,0.26259,-0.144975,-0.511626,256.222,0.678261
1976.87,2104.2,2077.32,2049.95,4176.41,4545.22,8752.52,9296.64,3.94266,2.1587,0.391908,-0.192494,-0.511626,256.31,-1.39535
1988.27,2105.38,2082.78,2055.15,3477.44,4162.7,8734.45,9205.11,4.19237,2.12621,0.351496,-0.144975,-1.42934,256.399,3.63158
1983.52,2104.2,2078.41,2049.95,3462.38,3604.01,7985.16,10090.7,3.78659,2.2237,0.440402,-0.144975,-0.862848,256.487,-0.170033
1978.77,2104.2,2078.41,2050.99,3422.96,3245.83,10477.9,11418,3.84902,2.1912,0.432319,-0.0855768,-0.647583,256.576,2.75187
1987.32,2108.92,2083.87,2058.27,2666.04,2989.66,9700.64,10234.9,4.41086,2.25619,0.529307,-0.0380582,-1.2254,256.664,-1.8352
1983.52,2106.56,2079.5,2054.11,3053.2,3002.41,7863.56,8845.83,3.77619,2.20203,0.545472,-0.0736971,-0.930827,256.753,0.646842
1977.82,2106.56,2080.59,2054.11,2860.78,2651.19,9210.97,8667.33,3.88023,2.23453,0.335331,-0.0380582,-0.28503,256.841,1.49514
1987.32,2108.92,2088.24,2059.31,2245.27,2004.4,8177.41,7781.74,3.98428,2.07205,0.610131,-0.00241929,-0.79487,256.841,-2.65208
1985.42,2107.74,2086.06,2060.35,3081.01,2298.81,6815.22,7726.83,3.5785,2.71115,0.771777,-0.0736971,-0.217052,256.93,-1.8352
1980.67,2111.28,2087.15,2053.07,2916.41,2746.24,7161.93,7472.82,3.97387,2.51617,0.618213,-0.0736971,-0.0810943,257.018,0.238405
1990.17,2113.64,2095.89,2062.43,2573.31,2911.99,6304.19,6211.93,4.21317,2.1912,0.674789,-0.133095,-0.862848,257.018,1.87216
1988.27,2112.46,2090.43,2064.51,3808.96,3397.67,5293.63,5841.2,3.64093,2.71115,0.456566,-0.133095,-0.511626,257.107,-2.65208
1981.62,2112.46,2088.24,2057.23,4154.39,4511.6,6366.63,5662.72,4.06751,2.16954,0.585884,-0.133095,-0.217052,257.284,6.11362
1994.92,2117.18,2093.71,2067.62,3960.81,5186.22,6028.13,5491.08,4.78542,2.24536,0.626295,-0.133095,-0.998806,257.372,-2.65208
1993.97,2119.54,2090.43,2066.59,4848.72,5625.54,5734.01,6594.08,3.95306,2.18037,0.53739,-0.216253,-0.930827,257.461,1.90357
1983.52,2113.64,2090.43,2057.23,5190.67,5659.15,7288.45,6733.67,3.88023,2.14787,0.812189,-0.133095,-0.217052,257.638,1.90357
1994.92,2117.18,2091.52,2064.51,3354.57,3933.19,7801.12,7568.92,4.2652,2.20203,0.577801,-0.0142989,-0.862848,257.726,0.238405
1992.07,2121.9,2088.24,2062.43,3919.08,3893.78,9620.13,11781.8,3.8074,2.23453,0.699036,-0.0855768,-0.726891,257.814,1.05528
1985.42,2116,2087.15,2057.23,4143.95,4069.98,11698.8,13910,4.14034,2.16954,0.577801,-0.0974564,-0.375668,257.991,-3.90881
1996.82,2120.72,2090.43,2065.55,3500.62,3928.56,9580.69,11104.4,4.22358,2.27786,0.91726,0.00946035,-0.647583,257.991,0.646842
