nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2,t
"1965,38","2091,55","2064,36","2042,77","4036,7","3339,74","8017,83","8875,54","3,82308","2,19948","-0,245958","-0,168563","-1,29276","255,031","-0,537226","0,32"
"1964,43","2086,83","2069,83","2031,33","3868,62","3423,2","7653,03","8932,75","3,84388","2,09116","-0,367193","-0,239841","-1,1568","255,119","-0,977082","0,33"
"1966,33","2090,37","2065,46","2040,69","3779,37","3209,92","8270,88","9152,44","3,81267","2,05866","-0,326781","-0,109164","-1,1568","255,208","1,94482","0,34"
"1968,22","2098,63","2066,55","2045,89","4087,7","3311,92","7247,17","8104,36","3,77105","2,23198","-0,520757","-0,132924","-1,51935","255,296","0,656669","0,35"
"1967,27","2089,19","2073,11","2036,53","4811,01","4439,77","7122,3","7216,47","3,97914","2,16699","-0,617745","-0,216081","-1,1568","255,385","1,9134","0,36"
"1968,22","2093,91","2070,92","2043,81","4594,25","4251,98","7524,87","7372,08","4,28087","2,19948","-0,722816","-0,204202","-1,22478","255,473","-0,568644","0,37"
"1972,97","2098,63","2070,92","2050,04","4836,52","4930,08","6744,36","7806,87","4,09359","2,28614","-0,577334","-0,144803","-1,72329","255,562","0,248231","0,38"
"1971,07","2090,37","2074,2","2037,57","4871,29","5181,61","6911,97","7463,62","4,68665","2,38363","-0,472263","-0,287359","-1,58733","255,65","4,01842","0,39"
"1973,92","2097,45","2070,92","2044,85","4367,06","4731,87","8326,74","8179,87","5,47738","3,13106","-0,609663","-0,227961","-1,45137","255,739","-3,08211","0,4"
"1972,97","2100,99","2074,2","2049,01","3933,53","4080,43","8446,7","9701,64","4,8115","2,96857","-0,488428","-0,25172","-1,79127","255,827","2,76169","0,41"
"1972,02","2092,73","2076,38","2036,53","3825,73","3752,39","8267,59","9344,65","4,48896","2,49195","-0,63391","-0,2636","-1,58733","255,827","-1,85679","0,42"
"1971,07","2095,09","2073,11","2045,89","3302,96","3118,35","9044,81","10129,6","4,30168","2,25364","-0,383357","-0,168563","-1,65531","255,916","1,47354","0,43"
"1973,92","2100,99","2074,2","2053,16","3119,82","2873,77","8676,74","9845,8","3,96874","2,3728","-0,367193","-0,132924","-1,65531","255,916","1,50496","0,44"
"1971,07","2092,73","2075,29","2041,73","3008,53","2753,22","7823,93","7900,7","4,03116","2,17782","-0,245958","-0,168563","-1,22478","256,004","0,656669","0,45"
"1972,97","2097,45","2074,2","2052,12","2949,42","2459,96","8099,98","7255,37","4,01036","2,4053","-0,245958","-0,0497663","-1,08882","256,004","-3,9304","0,46"
"1975,82","2104,53","2078,57","2058,36","2893,78","2210,74","6813,38","6639,81","3,70863","2,47029","-0,221711","-0,0972848","-0,873554","256,093","-2,23381","0,47"
"1974,87","2096,27","2079,66","2047,97","3076,92","2476,19","6236,62","5802,27","3,84388","2,15615","-0,399522","-0,144803","-0,443023","256,181","-0,600062","0,48"
"1976,77","2100,99","2080,76","2057,32","3329,61","2747,42","5884,98","5413,25","3,92712","2,14532","-0,536922","-0,121044","-0,941533","256,27","0,625251","0,49"
"1975,82","2108,07","2086,22","2064,6","3450,17","3260,92","4996,02","5211,87","3,94793","2,23198","-0,601581","-0,180442","-0,941533","256,358","3,17013","0,5"
"1976,77","2099,81","2089,5","2055,24","3669,25","3629,53","4723,24","4223,29","4,29128","2,22115","-0,480345","-0,204202","-1,08882","256,535","0,656669","0,51"
"1980,57","2109,25","2085,13","2063,56","4305,63","4132,59","5084,75","4367,46","4,09359","2,19948","-0,52884","-0,168563","-1,58733","256,535","1,88198","0,52"
"1983,42","2115,16","2086,22","2064,6","4458,63","5207,11","5025,59","4763,35","4,19764","2,21031","-0,488428","-0,275479","-1,93855","256,712","0,625251","0,53"
"1982,47","2106,89","2087,31","2056,28","4142,18","5319,55","5723,94","5264,5","8,59872","3,4127","-0,472263","-0,287359","-1,72329","256,8","-0,977082","0,54"
"1983,42","2110,43","2084,03","2059,4","4739,15","5419,23","6974,4","6468,18","10,1802","6,00162","-0,157052","-0,121044","-2,00653","256,889","-3,52196","0,55"
"1983,42","2112,8","2086,22","2062,52","4442,4","4299,51","7150,23","7131,8","6,6739","4,69091","-0,108558","-0,109164","-1,29276","256,977","1,06511","0,56"
"1984,37","2109,25","2086,22","2056,28",3733,"3492,75","9128,61","9765,71","5,20687","2,79526","0,0611712","-0,216081","-1,36073","257,154","1,88198","0,57"
"1985,32","2111,62","2085,13","2060,44","4073,79","3703,71","11044,6","13113,6","4,42653","2,44863","0,166242","-0,0854052","-2,00653","257,243","-1,0085","0,58"
"1983,42","2116,34","2084,03","2063,56","4268,53","3448,7","9450,68","11001,4","3,85429","2,30781","0,0450065","-0,121044","-1,29276","257,331","-1,0085","0,59"
"1982,47","2106,89","2088,41","2059,4","4188,55","3156,6","10114,5","10266,9","3,89591","2,22115","0,327888","-0,144803","-0,737597","257,42","-1,85679","0,6"
"1988,17","2111,62","2088,41","2063,56","3712,13","2537,62","10112,9","10257,7","3,43811","2,3728","0,158159","-0,0141274","-1,08882","257,42","1,47354","0,61"
"1985,32","2117,52","2092,78","2064,6","3644,9","2349,84","8326,74","9033,43","3,60458","2,89275","-0,221711","-0,0378866","-0,307066","257,508","1,47354","0,62"
"1984,37","2112,8","2092,78","2062,52","3647,23","2681,35","7935,67","8406,43","3,79186","2,25364","-0,39144","-0,216081","-0,171109","257,597","1,03369","0,63"
"1989,12","2111,62","2093,87","2065,64","3298,33","3090,53","7580,74","8152,42","4,03116","2,10199","-0,302534","-0,180442","-1,08882","257,597","0,656669","0,64"
"1986,27","2121,06","2099,33","2069,79","3221,82","3736,17","6152,81","6447,58","3,98955","2,10199","-0,52884","-0,25172","-0,646959","257,685","-2,26523","0,65"
"1989,12","2111,62","2099,33","2066,68","3721,41","4359,78","5429,81","4811,41","4,54098","2,36197","-0,609663","-0,299239","-0,873554","257,774","1,47354","0,66"
"1995,77","2117,52","2102,61","2070,83","3539,42","4272,85","5395,31","4843,44","5,69588","3,21772","-0,334863","-0,216081","-1,65531","257,862","-2,26523","0,67"
"1989,12","2124,6","2106,98","2072,91","3741,12","4731,87","4866,21","4829,71","6,49702","3,56435","-0,601581","-0,25172","-1,45137","257,951","0,625251","0,68"
"1992,92","2117,52","2102,61","2072,91","4253,46","5265,07","5219,49","4992,18","9,2438","4,49593","-0,593498","-0,299239","-1,29276","258,039","0,216813","0,69"
"1997,67","2123,42","2101,52","2073,95","4551,36","5028,6","5750,24","5184,41","10,4195","6,38075","-0,25404","-0,121044","-2,30111","258,128","-2,67367","0,7"
"1993,87","2130,5","2106,98","2073,95","4875,93","4830,39","5968,78","5298,83","7,6207","5,13503","-0,0277346","-0,168563","-1,81393","258,305","-1,03992","0,71"
"1994,82","2121,06","2103,7","2072,91","4894,47","4801,41","7161,73","6193,58","6,12246","3,08773","0,117748","-0,156683","-0,805576","258,393","0,185395","0,72"
"2001,47","2124,6","2101,52","2074,99","4508,47","4306,46","7960,31","7902,99","4,75948","2,86025","-0,0196522","-0,00224772","-1,81393","258,482","2,73028","0,73"
"1995,77","2129,32","2105,89","2066,68","4349,67","4012,04","8078,62","8406,43","4,02076","2,23198","0,222818","-0,132924","-1,10015","258,57","1,03369","0,74"
"1995,77","2124,6","2100,43","2071,87","4198,98","3616,77","9891,05","9685,62","3,94793","2,05866","0,238983","-0,121044","-0,397704","258,659","-1,03992","0,75"
"2003,37","2125,78","2100,43","2073,95",4017,"3273,67","9917,34","10701,6","3,77105","2,32947","0,247065","-0,00224772","-1,02084","258,659","-0,600062","0,760000000000001"
"1995,77","2132,86","2106,98","2066,68","3780,53","3277,15","8908,42","10122,7","3,85429","2,05866","0,255147","-0,180442","-0,397704","258,747","-1,88821","0,770000000000001"
"1998,62","2124,6","2102,61","2071,87","3475,67","3296,86","9861,47","10896,2","3,73984","2,02617","0,222818","-0,192322","-0,239087","258,836","-1,03992","0,780000000000001"
"2004,32","2126,96","2103,7","2078,11","3394,53","2789,15","8568,29",10546,"3,4069","2,42696","-0,0196522","-0,0854052","-1,02084","258,836","3,17013","0,790000000000001"
"1996,72","2135,22","2106,98","2066,68","3384,1","2982,73","7547,87","8461,34","3,83348","2,25364","-0,270205","-0,216081","-0,307066","258,924","1,47354","0,800000000000001"
"2001,47","2129,32","2104,8","2077,07","3691,27","3770,94","8311,95","8781,71","4,26006","2,22115","-0,383357","-0,2636","-0,60164","258,924","-0,600062","0,810000000000001"
"2009,07","2129,32","2108,08","2084,35","3425,82","3260,92","6867,6","8527,7","3,89591","2,51362","-0,504593","-0,144803","-1,23611","259,013","3,13871","0,820000000000001"
"2000,52","2137,58","2112,45","2071,87","3765,46","3361,77","5804,46","5976,19","4,13521","2,26448","-0,730898","-0,239841","-1,23611","259,101","-0,191625","0,830000000000001"
