nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1940.64,2067.27,2037.08,2011.55,3297.98,4334.58,6795.85,6729.98,9.58191,5.65126,1.2271,-0.239243,-1.60819,252.049,1.97384
1944.43,2057.83,2043.64,2015.7,3813.8,3854.7,7039.04,7107.56,7.65709,3.27899,1.47766,-0.203604,-1.18899,252.226,-3.05308
1942.54,2062.55,2038.17,2014.67,3733.81,3225.28,6905.95,6578.94,3.15196,7.59024,1.04121,-0.0372895,-1.25697,252.315,1.12555
1943.49,2073.18,2038.17,2015.7,3699.04,5383.59,6840.21,6613.27,8.09407,3.99392,1.34834,-0.215484,-1.67617,252.492,3.23057
1948.23,2062.55,2044.73,2017.78,3776.7,4183.88,7658.52,7798.64,7.12646,2.50989,1.48574,-0.191725,-1.47223,252.58,1.5654
1944.43,2064.91,2041.45,2017.78,3466.05,2963.31,7254.3,6787.18,2.53809,7.99103,1.19477,0.010229,-0.894415,252.757,3.19915
1946.33,2073.18,2039.26,2012.59,3198.29,3857.01,7571.43,7672.78,8.05246,6.27953,1.19477,-0.179845,-1.54021,252.846,-0.0997657
1949.18,2063.73,2046.91,2019.86,3389.55,3238.03,9153.81,10466.9,7.6987,2.79153,1.5019,-0.167966,-1.32495,252.934,1.94242
1945.38,2067.27,2044.73,2018.82,3198.29,2257.4,7946.08,8290.63,2.66295,9.56171,1.05737,-0.0016506,-0.690479,253.023,-0.0997657
1951.08,2076.72,2041.45,2016.74,2964.14,2966.79,7167.21,7473.69,9.82121,10.1033,1.21094,-0.179845,-1.25697,253.111,-0.948059
1951.08,2063.73,2051.28,2020.9,3876.38,3710.96,8818.6,9336.42,8.41661,4.00475,1.43724,-0.179845,-1.12101,253.111,0.277254
1946.33,2069.63,2050.19,2020.9,3605.15,2539.07,7558.28,7249.43,3.2456,11.2191,0.90381,-0.0254099,-0.758457,253.288,3.60759
1952.98,2080.26,2042.54,2018.82,3894.93,4320.67,7012.75,7240.28,11.9333,13.5697,1.34834,-0.215484,-1.32495,253.377,1.97384
1954.88,2069.63,2050.19,2025.06,3770.9,4084.2,8370.02,9251.75,10.1438,5.58626,1.48574,-0.239243,-1.32495,253.465,-0.131184
1950.13,2071.99,2050.19,2024.02,3549.51,2814.95,7819.55,8652.2,3.47449,10.6124,0.984633,-0.0491692,-0.758457,253.554,1.53398
1954.88,2081.44,2045.82,2018.82,3275.95,4387.89,7525.42,8102.99,10.1958,9.22591,1.03313,-0.286762,-1.67617,253.642,-1.38792
