nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1946.27,2061.82,2050.78,2011.26,3581.05,3966.91,6023,6657.81,4.34213,2.02915,0.540042,-0.121764,-0.247707,251.586,0.718954
1944.37,2068.9,2043.13,2008.15,4014.58,3852.15,6769,6950.74,4.08202,2.2133,0.370313,-0.204922,0.250803,251.763,-0.0979214
1947.22,2067.72,2042.03,2020.62,4016.9,3876.49,7490.36,8259.67,3.67625,2.36495,0.378395,-0.0148473,-0.530951,251.851,0.687536
1947.22,2065.36,2048.59,2010.23,2778.92,3579.75,6514.31,7458.75,4.44618,1.79084,0.297571,-0.157403,-0.825525,251.94,-1.38607
1945.32,2068.9,2045.31,2012.3,3371.25,3838.24,7868.29,8126.95,4.52941,2.32162,0.329901,-0.181162,0.0468673,252.117,0.718954
1950.07,2070.08,2044.22,2023.74,4152.52,3947.2,8655.37,9909.58,3.65544,2.45161,0.313736,0.0326712,-0.825525,252.205,1.56725
1948.17,2068.9,2051.87,2015.42,2668.81,3340.97,7207.73,8703.62,4.4982,1.93166,0.523877,-0.169283,-0.757546,252.294,-0.0979214
1949.12,2072.44,2046.4,2013.34,3076.82,3152.03,7953.74,7678.44,4.76872,2.31079,0.507712,-0.181162,-0.11175,252.382,0.279098
1950.07,2073.62,2045.31,2025.82,3826.79,3786.08,8638.94,9296.3,3.89474,2.45161,0.572371,0.0920694,-1.2334,252.559,-0.0665031
1948.17,2070.08,2056.24,2016.46,2941.21,3440.65,8224.86,9202.49,3.94676,1.94249,0.798676,-0.0504862,-0.893504,252.559,-0.12934
1950.07,2072.44,2049.68,2017.5,3683.06,3503.25,8601.15,7868.36,3.92595,2.08331,0.685524,-0.0742455,0.454739,252.648,-3.05124
1951.97,2074.8,2049.68,2028.94,4140.93,3842.88,8177.21,8314.6,3.71787,2.49494,0.774429,0.0801898,-0.179728,252.825,1.97569
1951.02,2074.8,2055.15,2017.5,3501.07,4116.43,7250.45,8667,4.10283,1.96416,0.782512,-0.121764,-0.315685,252.825,1.12739
1951.97,2077.16,2051.87,2019.58,4373.91,4504.74,8675.09,8561.75,4.30051,2.03998,0.863335,-0.157403,0.38676,252.913,-0.537777
1956.72,2077.16,2050.78,2029.98,4415.64,4066.59,8749.03,9422.16,3.45775,2.39745,0.653194,0.0564305,-0.406324,253.09,-2.20295
1951.02,2077.16,2060.61,2018.54,2862.38,3665.52,7490.36,8886.69,4.29011,1.97499,0.564289,-0.133644,-0.474302,253.179,-1.82593
1954.82,2079.52,2052.96,2021.66,2777.76,2986.27,8952.79,9358.1,4.79993,2.55993,0.709771,-0.145523,0.228144,253.267,-1.82593
1955.77,2078.34,2052.96,2031.01,2766.17,2655.92,9831.89,11152.2,3.65544,3.04739,0.572371,0.0920694,-0.689568,253.356,1.12739
1951.02,2078.34,2063.89,2024.78,2181.96,2655.92,8045.75,9479.37,4.0404,2.2458,0.418807,-0.109884,-0.961482,253.444,-0.12934
1954.82,2081.89,2059.52,2022.7,2380.18,2499.44,8413.83,7802,5.70512,2.9499,0.378395,-0.169283,-0.179728,253.533,0.718954
