nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1924.75,2038.26,2016.83,1993.64,4459.31,4023.25,7136.13,6885.06,4.43275,3.29097,1.6394,-0.0855781,-0.309241,249.992,-0.950938
1922.85,2038.26,2024.48,1997.8,4137.07,3878.36,7162.42,7647.09,5.0258,5.78239,1.46967,-0.0380596,-0.739772,250.169,0.305793
1929.5,2040.62,2021.2,1995.72,3950.45,4987.65,6881.44,8381.64,6.50324,4.94831,1.45351,-0.240013,-0.739772,250.257,-0.102645
1928.55,2040.62,2021.2,1995.72,4047.81,4543.7,8028.37,8937.71,4.23507,2.27273,1.55049,-0.192495,-0.955037,250.346,-3.02454
1924.75,2041.8,2024.48,2000.92,3421.87,3542.21,8427.67,9404.54,3.35069,2.86851,1.41309,-0.0855781,-1.18163,250.434,2.3794
1933.3,2044.16,2022.29,1997.8,3542.42,4141.48,7727.67,8960.6,3.93334,1.76361,1.29186,-0.180615,-1.11365,250.523,0.714231
1929.5,2044.16,2021.2,1996.76,3756.87,4053.39,8849.97,9509.81,4.06859,1.24367,1.46159,-0.156856,-1.24961,250.611,-3.87284
1926.65,2046.52,2025.57,2004.04,3352.32,3412.39,9104.66,10191.7,3.03855,2.64103,1.58282,0.00945897,-1.24961,250.7,-0.950938
1936.15,2046.52,2023.39,2000.92,3062.54,3388.04,7841.06,8862.21,3.69403,1.93693,1.55858,-0.121217,-0.955037,250.788,3.22769
1932.35,2047.7,2023.39,1999.88,3346.53,3401.95,8416.17,7958.29,3.69403,1.26533,1.63132,-0.0974578,-0.739772,250.788,4.07599
1928.55,2047.7,2031.03,2007.16,3353.48,3481.93,8997.85,9395.4,3.3923,2.42438,1.55049,-0.0618189,-0.955037,250.965,2.41082
1939,2047.7,2025.57,2003,3015.01,4002.39,8026.74,9182.58,4.29749,2.47855,1.46967,-0.168736,-1.18163,250.965,-0.950938
1936.15,2050.06,2026.66,2004.04,3923.79,4399.97,7905.14,7379.34,3.79808,1.5253,1.67173,-0.144976,-0.81908,251.054,-0.91952
1934.25,2051.24,2032.13,2011.31,3828.73,3966.45,7893.64,7777.52,3.27786,3.07432,1.68789,0.0450979,-0.955037,251.142,-2.58469
