nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1922.18,2059.37,2039.7,2005.55,4578.7,5027.92,7108.9,7948.99,3.10483,1.45364,-0.275364,-0.0445724,-0.229509,248.852,1.57091
1925.03,2066.45,2035.33,2001.4,3513.45,3764.46,7437.54,8422.68,3.61465,1.08534,-0.234952,-0.11585,0.0650651,248.852,-0.0942589
1934.52,2061.73,2035.33,2009.71,2319.51,2839.47,7452.33,7559.96,3.58343,1.44281,-0.0813875,0.0148258,-0.365466,248.94,-1.38241
1925.03,2061.73,2037.52,2004.51,3381.3,3160.55,7822.04,8422.68,2.78229,1.76778,-0.356187,0.074224,-0.150201,249.117,0.28276
1926.93,2069.99,2034.24,2000.36,3301.32,2942.63,8566.4,10056.6,3.44818,1.16117,-0.412763,-0.0326927,0.348309,249.117,-0.502697
1934.52,2060.55,2037.52,2010.75,2312.56,2185.72,7945.28,9003.92,3.5106,1.49697,-0.283446,0.0148258,0.144373,249.206,1.16247
1925.98,2064.09,2040.8,2010.75,3215.54,3027.25,7299.51,8248.76,3.00078,1.81111,-0.461257,0.0623444,-0.0822219,249.206,-2.60772
1930.72,2067.63,2035.33,2006.59,4086.06,3394.7,7826.98,8775.08,3.07362,1.237,-0.461257,-0.0802113,0.212352,249.294,0.314179
1934.52,2062.91,2042.98,2012.83,2780.86,2744.42,7352.09,7775.08,3.22968,1.36698,-0.760304,-0.0208131,-0.00291353,249.383,0.28276
1926.93,2071.17,2044.07,2011.79,4301.66,4236.23,7076.04,7699.56,2.90714,1.49697,-0.71181,0.00294617,0.0650651,249.471,3.23608
1932.62,2072.35,2038.61,2004.51,3924.93,3510.62,7311.01,8672.11,3.10483,1.37782,-0.71181,-0.0920909,-0.150201,249.471,-1.35099
1935.47,2066.45,2042.98,2013.87,3243.36,3430.63,7613.36,8685.84,3.53141,1.42114,-0.768386,-0.056452,-0.297488,249.56,-4.24147
1930.72,2074.71,2047.35,2011.79,3810.18,4252.46,7695.52,8946.72,3.15685,1.52947,-0.727975,-0.0445724,-0.569402,249.737,-0.534115
1934.52,2075.89,2044.07,2009.71,4135.91,4036.86,8175.33,9761.38,3.29211,1.44281,-0.889621,-0.163369,-0.728019,249.737,-2.19928
1939.27,2068.81,2045.17,2014.91,2919.95,3145.49,8268.99,9376.94,4.96723,2.12524,-0.84921,-0.139609,-1.44179,249.825,1.53949
1931.67,2075.89,2048.45,2009.71,3270.01,3801.56,8015.94,9047.41,4.17649,2.25523,-0.913868,-0.056452,-1.2152,250.002,1.97935
1935.47,2078.25,2044.07,2011.79,4434.96,4118,8526.97,10258,3.52101,1.63779,-1.02702,-0.11585,-0.795997,250.002,1.13105
1941.17,2073.53,2049.54,2019.07,3210.9,3161.71,7992.94,9189.28,5.00885,2.12524,-0.719892,-0.0326927,-1.2152,250.179,-0.502697
1935.47,2080.61,2051.72,2013.87,4518.43,4400.83,7485.19,8411.24,3.7291,2.03859,-0.857292,-0.0208131,-1.28318,250.268,-3.86445
1937.37,2080.61,2050.63,2014.91,4218.21,4121.48,7679.09,9051.98,3.38575,1.43198,-1.09168,-0.12773,-0.795997,250.356,1.13105
1942.12,2077.07,2051.72,2023.22,3490.26,3760.99,7514.77,7990.18,4.77995,1.85444,-0.784551,-0.139609,-1.14722,250.445,-1.38241
1938.32,2086.51,2052.82,2020.11,3608.49,3712.31,7565.71,8120.61,3.7291,1.86527,-0.639069,-0.103971,-1.44179,250.622,-0.125677
1938.32,2082.97,2049.54,2015.95,4919.49,4725.39,8408.66,9500.5,3.48979,1.29116,-0.921951,-0.187128,-1.06791,250.71,2.4192
1942.12,2080.61,2050.63,2024.26,3307.11,3467.73,8577.9,9466.18,4.84237,1.81111,-0.792633,-0.139609,-1.28318,250.799,2.38779
1940.22,2086.51,2057.19,2020.11,3607.33,3565.1,7672.51,8800.26,3.9684,2.17941,-0.833045,-0.0920909,-1.28318,250.976,-0.125677
1939.27,2082.97,2050.63,2018.03,5186.09,4118,8411.94,9985.63,3.13604,1.52947,-0.913868,-0.139609,-0.999933,250.976,1.97935
1939.27,2082.97,2055,2023.22,3300.16,2774.56,8858.89,10100,4.2077,1.35615,-0.865374,-0.163369,-1.2152,251.064,-0.534115
1942.12,2088.87,2061.56,2022.19,3441.57,3135.05,8267.35,9555.42,3.19847,1.5728,-0.994692,-0.139609,-1.57775,251.241,-2.63914
1939.27,2086.51,2053.91,2022.19,4973.97,4218.84,8472.74,10306,3.15685,1.46447,-0.938115,-0.163369,-0.863976,251.241,1.53949
1941.17,2085.33,2058.28,2026.34,3574.88,3140.85,8628.85,9560,4.06204,1.32365,-0.865374,-0.139609,-1.44179,251.33,2.38779
1944.02,2093.59,2062.65,2025.3,3863.51,3836.34,8081.67,8740.76,3.2817,1.80027,-0.760304,-0.175248,-1.2152,251.418,1.53949
1942.12,2090.05,2056.1,2021.15,4664.48,4384.61,8144.11,9695.01,3.10483,1.37782,-0.768386,-0.234647,-0.863976,251.507,-0.0942589
1944.02,2088.87,2060.47,2029.46,3945.81,4034.54,8254.2,8971.89,4.96723,1.67029,-0.655234,-0.246526,-1.50977,251.595,1.13105
1945.92,2092.41,2062.65,2024.26,3703.54,4124.96,8272.27,9072.58,3.86435,2.11441,-0.630987,-0.187128,-1.44179,251.684,-2.19928
1944.02,2088.87,2058.28,2023.22,4991.35,4903.9,9001.84,10701.9,3.30251,1.30199,-0.663316,-0.222767,-0.795997,251.684,-0.125677
1946.87,2093.59,2061.56,2032.58,3565.6,3401.65,9105.37,10296.9,4.38458,1.62696,-0.57441,-0.175248,-1.28318,251.772,-0.125677
1947.82,2094.77,2067.02,2029.46,3210.9,3342.54,8773.45,10182.4,3.86435,1.86527,-0.501669,-0.175248,-0.999933,251.949,2.38779
1944.02,2091.23,2061.56,2028.42,4676.07,4377.65,9424.15,11024.6,3.2713,1.41031,-0.727975,-0.187128,-0.999933,251.949,-0.0942589
1944.97,2095.95,2063.75,2034.66,2959.37,2788.47,9277.9,10129.8,5.05046,1.78944,-0.663316,-0.12773,-1.14722,252.038,2.38779
1950.67,2098.32,2065.93,2031.54,2702.03,2533.46,8296.93,8791.11,5.01925,3.00266,-0.598657,-0.0445724,-1.14722,252.215,-3.01616
1944.97,2092.41,2062.65,2029.46,4257.62,3402.82,7925.57,8612.62,3.56263,1.8761,-0.647151,-0.0920909,-0.150201,252.215,-0.534115
1948.77,2095.95,2067.02,2036.74,2900.25,2451.16,7919,8038.24,3.9684,1.33449,-0.719892,-0.056452,-0.433445,252.303,-0.973971
1953.52,2098.32,2072.49,2035.7,2652.19,2492.89,6865.71,7505.05,3.21928,1.70278,-0.622904,-0.0802113,-0.569402,252.392,-2.16787
1947.82,2094.77,2065.93,2033.62,4484.81,3886.18,6300.45,7029.07,3.09442,1.56196,-0.663316,-0.103971,0.212352,252.48,-0.502697
1950.67,2099.5,2071.39,2038.82,2991.83,2869.61,6241.3,6479.86,3.9788,1.12867,-0.752222,-0.12773,-0.365466,252.569,-0.125677
1956.37,2104.22,2075.77,2040.9,2647.55,3024.93,5837.08,6248.73,3.42737,1.55113,-0.71181,-0.151489,-0.728019,252.657,3.20466
1951.62,2099.5,2070.3,2034.66,4266.89,4491.24,5888.02,6516.48,3.2817,1.44281,-0.752222,-0.222767,-0.728019,252.746,3.23608
1951.62,2105.4,2074.67,2045.05,3423.03,4698.73,6436.85,6408.92,5.23774,1.34532,-0.639069,-0.175248,-1.2152,252.923,-1.79085
1961.12,2104.22,2077.95,2042.97,3493.73,4893.46,6451.63,6619.46,6.68396,3.71759,-0.671398,-0.151489,-1.28318,253.011,3.23608
1956.37,2103.04,2070.3,2038.82,4256.46,4725.39,7067.82,7649.22,4.50943,2.46104,-0.606739,-0.139609,-0.637381,253.1,2.38779
1955.42,2107.76,2073.58,2040.9,3996.81,3991.65,8025.8,8125.2,4.22851,1.67029,-0.679481,-0.0445724,-1.2152,253.188,1.53949
1960.17,2108.94,2075.77,2041.94,3551.69,3605.66,8747.15,10072.6,3.44818,1.75695,-0.622904,-0.0683317,-0.863976,253.365,-2.19928
1959.22,2105.4,2068.12,2036.74,5165.23,4648.89,9987.76,12248.8,3.19847,1.38865,-0.43701,-0.0920909,-0.501423,253.365,0.691198
1956.37,2110.12,2073.58,2047.13,3946.96,3267.19,10293.4,11988,3.71869,1.29116,-0.43701,0.00294617,-0.795997,253.453,0.28276
1963.97,2111.3,2075.77,2042.97,3421.87,2766.45,9787.29,10512,2.89674,1.55113,-0.453175,0.0148258,-0.728019,253.63,-0.125677
