nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2,t
"1938,76","2045,82","2027,73","2007,75","3239,88","3124,77","6923,38","6389,15","3,60381","1,84446","0,859158","-0,0866145","-0,252419","250,888","-2,60115",0
"1935,91","2043,46","2029,92","2003,6","3697,74","3057,53","6285,83","6135,15","3,54138","1,80113","0,834911","-0,0390959","-0,116462","250,976","1,9545","0,01"
"1939,71","2054,08","2027,73","2007,75","4074,47","3586,11","6042,64","6494,42","3,3541","1,94195","0,640935","-0,0628552","-0,603642","251,065","1,54606","0,02"
"1936,86","2045,82","2029,92","2008,79","3486,78","4069,46","7107,42","6750,71","4,15524","1,66031","0,649018","-0,181652","-0,671621","251,153","-0,527543","0,03"
"1938,76",2047,"2032,1","2004,64","3555,17","3910,66","7125,5","7677,51","3,69745","1,83363","0,649018","-0,134133","-0,762259","251,242","1,92308","0,04"
"1942,56","2051,72","2028,82","2007,75","3323,34",3345,"6920,1","7851,42","3,26046","2,26692","0,406547","-0,146013","-0,898216","251,33","1,54606","0,05"
"1939,71","2045,82","2031,01","2008,79","3130,93","3928,05","7792,63","8041,35","4,45697","1,63865","0,309559","-0,181652","-1,10215","251,507","1,9545","0,06"
"1939,71","2050,54","2034,29","2007,75","3673,41","3936,16","7998,02","8853,73","4,0408","1,83363","0,358053","-0,134133","-0,830237","251,596","1,54606","0,07"
"1943,51","2054,08","2027,73","2012,95","3369,71","3322,98","7720,32","9164,94","3,43734","2,01778","0,358053","-0,0984941","-1,24944","251,684","-0,119105","0,08"
"1939,71","2049,36","2032,1","2012,95","2692,76","3240,68","8269,15","8846,86","4,19686","1,56282","0,430795","-0,157892","-1,3854","251,773","0,257914","0,09"
"1941,61","2052,9","2036,47","2006,71","3187,72","3584,94","8140,98","7974,99","4,0512","1,86613","0,511618","-0,110374","-1,10215","251,95","1,54606","0,1"
"1946,36","2058,8","2029,92","2012,95","3574,88","3316,02","8454,83","8817,11","3,36451","2,09361","0,503536","-0,0509755","-1,17013","252,038","0,289332","0,11"
"1941,61","2055,26","2037,57","2016,07","3185,4","3501,48","9195,9","9487,6","4,13444","1,68198","0,6571","-0,0984941","-1,24944","252,127","1,10621","0,12"
"1944,46","2057,62","2037,57","2011,91","3558,65","3772,72","7702,25","7769,04","3,84311","1,83363","0,76217","-0,0272163","-0,739599","252,215","0,257914","0,13"
"1949,2","2058,8","2034,29","2016,07","4067,52","3783,16","7340,76","7952,11","3,31248","2,24526","0,624771","-0,0509755","-0,807578","252,304","-0,119105","0,14"
"1943,51","2058,8","2040,84","2017,11","4131,27","4544,71","8813,04","9029,93","4,00958","1,67115","0,649018","-0,157892","-0,739599","252,392","0,257914","0,15"
"1945,41","2059,98","2044,12","2015,03","4001,45","4405,62","8323,37","9096,29","4,00958","1,80113","0,737923","-0,0984941","-0,671621","252,569","-0,119105","0,16"
"1951,1","2061,16","2037,57","2019,19","3673,41","3728,68","7623,38","8576,83","3,27087","2,45107","0,600524","-0,0984941","-0,739599","252,569","1,54606","0,17"
"1941,61","2061,16","2041,94","2018,15","2835,34","3420,35","8921,49","9421,24","4,0512","1,59532","0,649018","-0,181652","-0,671621","252,658","-3,44944","0,18"
"1948,26","2061,16","2041,94","2017,11","2515,41","3044,79","8898,49","9780,51","4,14484","1,88779","0,818747","-0,0984941","-0,739599","252,835","-3,44944","0,19"
"1949,2","2063,52","2040,84","2021,27","2583,81","2596,2","8159,06","9798,82","3,33329","2,21276","0,770253","-0,0628552","-0,671621","252,923","0,257914","0,2"
"1946,36","2063,52","2040,84","2020,23","2407,62","2617,06","8540,27","8791,93","3,80149","1,87696","0,632853","-0,134133","-0,762259","253,012","0,257914","0,21"
"1949,2","2064,7","2047,4","2021,27","2375,15","2848,89","7386,76","7537,91","3,78068","1,77947","0,786417","-0,0628552","-0,603642","253,1","-1,37584","0,22"
"1952,05","2065,89","2044,12","2026,46","3054,41","2834,98","6481,37","6505,86","3,17723","2,29942","0,7945","-0,0272163","-0,671621","253,1","-1,81569","0,23"
"1948,26","2067,07","2050,68","2026,46","3134,4","3038,99","6596,39","6091,66","3,49976","1,84446","0,851076","-0,0747348","-0,603642","253,189","-0,998817","0,24"
"1953,95","2068,25","2053,96","2023,35","3096,14","3350,8","6223,39","5675,19","3,89513","1,61698","0,826829","-0,0984941","-0,535663","253,366","0,289332","0,25"
"1954,9","2065,89","2048,49","2028,54","3414,92","3438,9","6016,35","5890,29","3,40612","2,07194","0,964229","-0,110374","-0,399706","253,366","1,54606","0,26"
"1950,15","2071,79","2050,68","2029,58","3503,01","3708,97","6713,06","6027,6","3,72866","1,66031","0,826829","-0,122253","-0,535663","253,543","-2,22413","0,27"
"1954,9","2070,61","2055,05","2027,5","3365,07","3742,59","6382,77","5938,35","3,83271","1,73614","0,729841","-0,122253","-0,535663","253,631","-0,967399","0,28"
"1957,75","2069,43","2050,68","2032,7","3303,64","3267,34","6344,98","6421,19","3,29167","1,90946","0,41463","-0,0984941","-0,467685","253,72","-0,558961","0,29"
"1951,1","2072,97","2055,05","2030,62","3037,04","3297,48","7365,39","7352,55","3,67664","1,71447","0,600524","-0,146013","-0,830237","253,808","0,666352","0,3"
"1957,75","2072,97","2052,87","2026,46","2612,78","3030,88","7330,89","7460,11","3,70785","1,74697","0,616688","-0,110374","-0,671621","253,897","-0,558961","0,31"
"1958,7","2071,79","2049,59","2030,62","3155,26","2629,82","7199,44","7888,03","3,13561","2,4619","0,673265","-0,0747348","-0,603642","253,985","-0,119105","0,32"
"1953,95","2074,15","2052,87","2033,74","3392,89","3222,13","7786,05","8231,29","3,57259","1,96362","0,560112","-0,0984941","-0,603642","254,074","1,9545","0,33"
"1961,55","2074,15","2059,42","2029,58","3709,34","4090,32","7406,47","7608,86","4,41536","1,83363","0,681347","-0,122253","-0,898216","254,162","0,257914","0,34"
"1962,5","2076,51","2055,05","2034,78","4042,02","3848,07","6872,44","7489,85","3,40612","2,05028","0,55203","-0,0866145","-0,331728","254,251","3,17981","0,35"
"1956,8","2080,05","2057,24","2035,82","4118,52","4300,13","8231,35","7698,1","3,84311","1,66031","0,471206","-0,0628552","-0,762259","254,339","0,257914","0,36"
