nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1945.42,2058.97,2035.73,2013.51,4434.89,4531.4,9361.37,10595.9,3.27144,1.75216,1.0668,-0.109305,-1.95055,252.053,-1.78838
1950.17,2067.23,2040.1,2018.71,2817.88,3330.53,8207.86,8595.91,3.45872,1.65467,1.04255,-0.228102,-1.31608,252.141,-2.19682
1946.37,2061.33,2040.1,2017.67,2939.59,3048.86,7892.37,7550.12,3.34427,1.62218,0.897066,-0.204342,-1.31608,252.141,2.83011
1949.22,2061.33,2039.01,2014.55,4353.75,4314.63,8099.4,9051.29,3.33387,1.698,1.21228,-0.133065,-1.52002,252.23,2.39025
1950.17,2069.59,2045.57,2020.79,3039.28,3658.57,7327.11,8055.85,3.47953,1.53552,1.17995,-0.204342,-1.2481,252.318,-1.78838
1948.27,2064.87,2044.47,2023.9,3041.6,3299.23,6531.81,6183.96,3.54196,1.63301,1.16378,-0.180583,-1.31608,252.407,0.316643
1953.02,2067.23,2043.38,2018.71,4542.69,5015.91,6714.21,6868.19,3.36508,1.58968,1.17995,-0.121185,-1.88257,252.584,-0.531651
1953.02,2074.31,2048.84,2024.94,3056.66,4175.54,6802.94,7238.9,3.4067,1.62218,1.31735,-0.204342,-1.31608,252.672,-1.34853
1950.17,2067.23,2045.57,2024.94,3157.5,3500.92,7059.27,6417.38,3.34427,1.61134,1.23652,-0.192463,-1.2481,252.761,-1.78838
1954.92,2067.23,2044.47,2021.83,4547.32,4413.16,7484.85,7751.5,3.20901,1.7305,1.39817,-0.0380275,-1.58799,252.938,1.13352
1954.92,2075.49,2052.12,2024.94,3162.14,3375.73,7105.28,7753.79,3.29225,1.66551,1.33351,-0.121185,-1.31608,252.938,-1.34853
1952.07,2069.59,2048.84,2024.94,2876.99,2549.27,7443.78,7797.26,3.46912,1.763,1.43858,-0.192463,-0.885548,253.115,0.693662
1956.82,2070.77,2049.94,2021.83,4337.52,3507.88,8395.18,9243.51,3.19861,1.92548,1.4305,-0.0736664,-1.2481,253.203,-1.78838
1954.92,2077.85,2051.03,2024.94,3454.25,3310.82,7525.94,7946.01,3.59398,2.12046,1.4305,-0.0974257,-1.02151,253.292,2.79869
1952.07,2071.95,2049.94,2029.1,3144.76,2865.72,7432.27,7085.58,3.44832,1.74133,1.57598,-0.192463,-0.953527,253.38,-1.37994
1959.67,2075.49,2049.94,2023.9,4985.49,4471.12,8252.22,8861.35,3.27144,1.96881,1.42242,-0.0617868,-1.18012,253.469,-0.971507
1956.82,2082.58,2056.49,2029.1,3994.41,4057.3,7286.03,8108.49,3.69802,2.29378,1.31735,-0.168704,-1.02151,253.557,0.285225
1954.92,2074.31,2051.03,2029.1,3220.1,3248.23,7465.14,7378.49,3.59398,1.89298,1.23652,-0.239981,-0.738261,253.646,0.72508
1960.62,2076.67,2052.12,2022.87,4650.49,4568.49,8901.28,10241.2,3.44832,1.93631,1.17187,-0.168704,-1.45204,253.734,1.95039
