nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1934.25,2052.29,2029.6,2014.21,2838.38,2347.03,7556.33,7412.71,4.58273,3.13322,0.125299,-0.0623794,-0.803797,251.137,1.13452
1942.8,2060.56,2032.88,2005.89,2501.07,2843.14,9380.26,10190.8,4.85324,2.15831,0.408181,-0.0861387,-1.15502,251.314,-0.122214
1938.05,2061.74,2037.25,2005.89,3569.81,2210.25,6895.77,7243.37,3.5735,2.87325,0.181876,-0.0623794,-0.373265,251.314,1.07168
1935.2,2055.84,2032.88,2015.25,3581.4,2265.89,6435.68,6279.97,3.86482,3.3607,0.278864,0.020778,-0.237308,251.403,-0.970508
1945.65,2065.28,2032.88,2010.05,3267.27,3370.55,7809.38,8650.71,4.56192,1.97417,0.101052,-0.121778,-0.951084,251.491,-0.122214
1940.9,2065.28,2041.62,2009.01,4112.29,3396.04,6212.21,6501.94,3.89603,2.21248,0.222287,-0.133657,-0.237308,251.58,1.54295
1938.05,2058.2,2037.25,2018.37,4090.26,3498.04,6169.49,5712.45,3.69835,2.48328,-0.0282653,-0.0861387,-0.305287,251.668,-0.153633
1949.45,2068.82,2036.16,2012.13,3604.58,4281.63,7843.89,8481.38,4.53071,1.92,-0.0686769,-0.193055,-1.223,251.845,-0.93909
1944.7,2068.82,2043.81,2011.09,4453.08,3822.61,6563.85,7982.52,3.77118,2.43995,0.0040641,-0.240574,-0.577201,251.934,1.1031
1943.75,2062.92,2037.25,2016.29,3892.05,3601.21,6825.12,7314.31,3.72956,2.29913,-0.189912,-0.121778,-0.871775,252.022,1.1031
1954.2,2072.36,2039.44,2011.09,3496.78,4209.76,9119,10799.5,5.17578,2.34246,-0.0121006,-0.228694,-1.58555,252.111,1.91997
1945.65,2070,2044.9,2013.17,3763.38,3030.92,7309.85,8529.43,4.44747,3.00323,-0.165665,-0.193055,-1.15502,252.288,1.95139
1945.65,2064.1,2040.53,2020.45,3713.55,3004.25,7595.77,7453.9,3.89603,2.46162,-0.1495,-0.109898,-0.735818,252.376,-0.122214
1957.05,2075.9,2041.62,2017.33,3292.77,3887.52,10218.3,11687.4,5.46711,2.08249,0.0525581,-0.204935,-1.8688,252.465,1.95139
1945.65,2072.36,2049.27,2017.33,3336.82,2789.82,7603.98,8417.31,4.59313,3.10072,0.0040641,-0.181176,-1.08704,252.553,2.35983
1947.55,2066.46,2042.71,2020.45,3278.86,2316.89,7334.5,6787.99,3.8232,2.63494,-0.311147,-0.0504998,-0.803797,252.642,-0.56207
1958,2080.62,2043.81,2015.25,2690.01,3310.27,9615.23,10586.7,5.23821,1.80085,0.0040641,-0.145537,-1.44959,252.73,0.694661
1949.45,2074.72,2052.55,2018.37,3609.21,3565.28,7776.52,8579.77,4.64515,2.20164,0.109134,-0.193055,-0.735818,252.819,-0.970508
1952.3,2068.82,2045.99,2027.72,3382.03,3083.08,7007.51,6547.71,3.91684,2.46162,-0.1495,-0.109898,-0.441244,252.819,-2.63568
1960.85,2080.62,2047.09,2022.53,3502.57,4258.45,7838.96,8106.08,4.92608,1.88751,-0.0686769,-0.121778,-1.29098,252.996,0.694661
1951.35,2078.26,2054.74,2022.53,4187.64,4063.71,6708.45,6668.99,4.13534,2.37496,0.0768051,-0.145537,-0.509223,253.084,-3.04411
1956.1,2072.36,2051.46,2028.76,4424.1,3875.93,6805.4,6520.25,3.84401,2.3533,0.343522,-0.0861387,-0.169329,253.172,-0.56207
1961.8,2085.34,2048.18,2025.64,3471.28,4363.93,8116.65,8927.61,4.90527,1.77918,0.19804,-0.204935,-1.51757,253.261,-2.63568
1954.2,2078.26,2058.01,2024.6,3362.32,3320.7,6884.27,7263.97,4.15615,2.36413,0.311193,-0.133657,-0.65651,253.349,1.51154
1957.05,2077.08,2049.27,2030.84,3435.34,2431.65,7538.26,6847.48,3.31338,2.93824,0.246534,-0.0148609,-0.735818,253.438,1.1031
1964.65,2085.34,2051.46,2027.72,2752.61,2908.05,9764.77,10810.9,4.40585,1.94167,0.0848875,-0.133657,-1.44959,253.526,2.76827
1955.15,2081.8,2058.01,2026.68,2878.95,2583.49,7268.77,8170.16,4.11453,2.29913,0.23037,-0.157417,-0.735818,253.526,3.1767
1959.9,2079.44,2054.74,2031.88,3182.65,2187.07,6687.09,6511.09,3.37581,3.01407,0.19804,-0.0267405,-0.803797,253.615,3.1767
1964.65,2090.06,2055.83,2030.84,2778.11,2825.75,7914.54,8346.36,4.35383,1.94167,-0.0363476,-0.133657,-1.35896,253.703,0.254805
1958,2086.52,2063.48,2028.76,3577.92,3181.61,6297.65,6195.3,4.20817,2.16915,0.101052,-0.193055,-0.951084,253.792,2.35983
1962.75,2082.98,2059.11,2038.12,3591.83,2544.08,6010.1,5506.51,3.65673,2.66743,-0.133336,-0.0980184,-0.65651,253.88,-0.56207
1967.5,2093.6,2054.74,2033.96,3349.57,3530.51,7173.48,7945.9,4.30181,1.94167,-0.173747,-0.145537,-1.44959,253.969,2.35983
1959.9,2090.06,2063.48,2030.84,3894.37,3525.87,6059.39,6504.24,4.02089,2.15831,-0.0525123,-0.216815,-1.08704,254.057,-0.122214
1964.65,2085.34,2060.2,2039.16,3872.34,3239.57,6471.83,6323.45,3.73997,2.10415,-0.00401824,-0.0861387,-1.08704,254.146,-0.153633
1970.35,2097.15,2061.29,2033.96,3031.96,3595.42,8420.64,9682.77,4.62435,1.75752,0.0202288,-0.204935,-2.00475,254.234,-1.85022
