t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.19;1947.4835594471785;2060.606673861712;2041.9041468880187;2018.873754044289;3372.355060488711;3499.5494663792615;7666.483755021093;8430.058893872008;3.687501763758588;2.039717073200833;0.7160247640546867;-0.09988623120941083;-0.6219177985966298;252.7582511714762;0.22642391404546805
0.2;1948.0421415175374;2061.3621186258624;2042.5219723191492;2019.57834624305;3305.251965916695;3404.028606284;7604.907325235599;8285.408286144373;3.686772438231726;2.0396760397283598;0.7244847281324446;-0.09982130758809309;-0.6202244163446711;252.84002014210716;0.22521522776483818
0.21;1948.633831908263;2062.1588019395545;2043.1743354798791;2020.3241911164012;3227.484011378144;3280.5300298652405;7530.489062251129;8076.680862829643;3.6860102943964326;2.0396483364556115;0.7336584840355428;-0.09974967535531677;-0.6183087796491239;252.9156830056522;0.2240020900879863
0.22;1949.2213860715249;2062.9516973796517;2043.8086591578385;2021.0318783670905;3213.6938988321267;3251.9859623305733;7470.651456509771;7807.8472470063425;3.6852529413587884;2.039611161424148;0.7405698049936904;-0.09967893629136393;-0.6164294750469742;253.0009201239351;0.22278527631746917
0.23;1949.7992460968412;2063.7341599663646;2044.4177621332326;2021.6911055898538;3270.2524248496366;3313.1695058920827;7426.94873529354;7479.665099609278;3.6845048523291224;2.039560170546489;0.7448697147006682;-0.09961031620482803;-0.6146268593784336;253.09633513420368;0.22156507564840003
0.24;1950.3911605040619;2064.5347788191048;2045.0327696779232;2022.346898731019;3362.8369672341078;3426.285953535315;7386.620666106175;7064.208133854961;3.683744481001714;2.0395118101025758;0.7481042703469745;-0.09953877315302835;-0.6127317692746195;253.19387284865851;0.2203406031775462
0.25;1950.9863108394547;2065.340496935483;2045.6384041918068;2022.976175512425;3512.5664075751292;3620.6063453764264;7356.975561610769;6558.818653988762;3.682982502543726;2.0394592349235863;0.7494069360724933;-0.09946653532220852;-0.610819624546079;253.29743700864242;0.21911211907598163
0.26;1951.6017655757537;2066.172097307372;2046.260379987659;2023.6191011982837;3556.259988555558;3672.4783154743373;7320.047813268851;6344.275862134293;3.6821993642424693;2.0394109875472606;0.7503751382959971;-0.09939030487271121;-0.6087758059486336;253.39669737449404;0.21787962246944173
0.27;1952.2395228620776;2067.031992629305;2046.9010381888836;2024.2788119417796;3479.8235477346193;3564.7244813661428;7274.645611119073;6450.45310985048;3.6813932988645024;2.0393684604694;0.7510970686195897;-0.09930965409640416;-0.6065858962237761;253.49058346238635;0.216643026531384
0.28;1952.8815661295193;2067.898354406845;2047.5339694861138;2024.9146140869623;3379.97792892206;3428.970140507536;7235.9974494795815;6692.56415341033;3.680583427257149;2.039321353813246;0.7499899771099607;-0.09922818600360302;-0.6043732477575332;253.58735627411056;0.21540255809824463
