t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.18;1955.5899022739507;2074.876027747479;2056.5042888068406;2027.462346777126;3793.913491854836;3872.5248957631484;7209.153543742333;7271.8089225141575;4.081929213453365;2.5916434742125394;-0.2984168049512111;-0.14207481365611815;-1.0672384629009073;253.65022838100737;0.3616933745178076
0.19;1956.0395904040763;2075.60744325899;2057.0445287311127;2028.0747183308074;3745.8863932038503;3740.423428594614;7248.442753423162;7319.435237365842;4.084719255560355;2.5923095985795106;-0.30002323485668825;-0.14224280033361766;-1.0649978694174251;253.7388783259404;0.36030885814562086
0.2;1956.5086063295169;2076.368652877946;2057.6032993030026;2028.7119109808784;3671.7347816194692;3557.2125341354895;7317.771564976309;7427.057291891893;4.08765395353265;2.5929204086401847;-0.3017039998430743;-0.14241829561405284;-1.0626469626128263;253.82519472912028;0.358924617089036
0.21;1957.0027193035546;2077.167708334764;2058.184742280451;2029.3808974528597;3554.4584872952596;3263.5950749381095;7409.262754848612;7562.003200251013;4.09078394946437;2.593460592910382;-0.3034892681037926;-0.142603499139231;-1.0601343999883859;253.90756931772557;0.3575416325870582
0.22;1957.494407016307;2077.9477934929673;2058.770746155327;2030.0476882812636;3508.63802037978;3148.0133314047043;7465.905158557865;7615.300096170732;4.092095497264317;2.594022095021324;-0.305264110718952;-0.14278530852649857;-1.0594566028137478;253.99794235734853;0.35615403309016813
0.23;1957.9795883010604;2078.701337275975;2059.3585807628106;2030.7073053451666;3543.6183224473198;3240.0687522424078;7486.824612163057;7590.050298725619;4.091369510626197;2.594617217278679;-0.3070096393039788;-0.1429619579085205;-1.0608319582500916;254.09721652586717;0.3547610267323767
0.24;1958.4757714879581;2079.461393166411;2059.9600698684953;2031.3812624618356;3589.7540849587554;3351.301770966898;7494.093850585925;7513.507828486292;4.0895876135420455;2.595190460902868;-0.30880359104251126;-0.1431413655406313;-1.0632869445162865;254.19821928159314;0.3533661573546332
0.25;1958.9749700098873;2080.211465450966;2060.5699793861595;2032.0597135923938;3676.5911417515235;3557.444943435284;7473.118881253484;7358.151881560766;4.0861628935270335;2.5957682372387523;-0.3106123179885944;-0.1433197622088092;-1.0674040134141558;254.30400524613512;0.3519677348875116
0.26;1959.4898484795463;2080.9798103581934;2061.1965380903075;2032.7584237022606;3740.397128015807;3706.9229919084805;7466.282012833518;7324.479718330309;4.082219242672816;2.5963055180699395;-0.3124846275593142;-0.14350354005333;-1.072071370138958;254.40769053268744;0.3505686232029468
0.27;1960.021882956467;2081.768859308183;2061.8408015711557;2033.4792106790287;3772.3409018997677;3775.7812118004413;7475.778671460572;7425.226674187803;4.077803107971122;2.5967977172690206;-0.31442730775648503;-0.1436933490244743;-1.0772435112330785;254.5083366606015;0.3491691116370463
0.28;1960.5577437926624;2082.5498239555563;2062.4941060295673;2034.2055704848128;3827.865232628981;3900.2828685839336;7468.095856500321;7539.708754346656;4.0718169030058755;2.597290500331813;-0.3163865675976605;-0.14388268577207478;-1.0840082899554706;254.6118054924422;0.34776628429412404
0.29;1961.1000888158546;2083.3283015125744;2063.1582310658987;2034.940814001489;3891.1074130875477;4041.722737160949;7452.263039963763;7717.787884809048;4.064462660138182;2.597774525964199;-0.31837289588134843;-0.14407287270082206;-1.0921664011706511;254.7163731138642;0.34636073230162084
0.3;1961.6757648479947;2084.1550178500665;2063.8513656605055;2035.7178761769533;3928.1319974506873;4070.7331535231374;7442.606391646788;7802.8680640114635;4.057247668021238;2.598165904910199;-0.32066220244748567;-0.1442758888587046;-1.10022269416041;254.8163666430515;0.34495781693363087
0.31;1962.2853769134274;2085.0304164687363;2064.5740133187087;2036.5374857140935;3941.557451787541;3989.075254768683;7436.443033938933;7773.974085648788;4.050136304993004;2.598463283636776;-0.3232740804270823;-0.14449192565483213;-1.10821290634968;254.91182141902235;0.34355762188776257
0.32;1962.9178113623611;2085.933582002108;2065.3186823051215;2037.3860461184445;3935.293676523971;3827.7418600152882;7433.07667311525;7746.5840488463455;4.042508982285361;2.5987007763163885;-0.32608524386183535;-0.1447161001530158;-1.1167528723828628;255.0040711086399;0.3421579599304633
0.33;1963.5799284303803;2086.8771125655367;2066.0900768031875;2038.271971793926;3900.9799526482198;3552.8290084238834;7435.342725241431;7678.953039969543;4.03471405135032;2.598857142019262;-0.32917211750994163;-0.14495144268637006;-1.1254974534149849;255.09160126401744;0.3407601859536067
0.34;1964.2527817054688;2087.823683089453;2066.875546729078;2039.171982618756;3930.8439342761276;3514.1215461188817;7426.200572432407;7622.551407151443;4.025537210617053;2.598992850922373;-0.3323627951223913;-0.14518931721631723;-1.135651686466785;255.17877651931778;0.33936043118960646
0.35;1964.9352414596683;2088.770785486053;2067.6743929074673;2040.08469784997;4030.8284544386574;3737.0685953695092;7405.194442896245;7590.322502534179;4.014876567414972;2.599111527702793;-0.3356494602413875;-0.1454292011130714;-1.147317294260205;255.2655584264036;0.33795845997610313
0.36;1965.6425375613428;2089.7473754427633;2068.4969336522754;2041.028819417949;4149.332047976648;4024.2055638786733;7382.922824251462;7522.90799278386;4.003603208740087;2.5991652277093347;-0.3391859484223307;-0.14567793606256693;-1.159630677422306;255.3483741229505;0.33655733389141373
0.37;1966.370589964534;2090.7451040109963;2069.3404973461734;2041.9993363650733;4309.939670325445;4466.35901895362;7355.563216930745;7434.109337802774;3.991423810834724;2.5991670822376456;-0.3429388915735425;-0.1459336431702202;-1.1728833803882874;255.42798956343702;0.3351562098873118
