t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.21;1922.6457544515083;2047.1005499735486;2019.1109524751282;1992.9932104168054;3805.923438175668;3713.1000049114487;7500.634015372667;7984.610228646968;3.843578240072634;2.7700975581066154;1.228078706800229;-0.1533949299313627;-1.2523262098983639;249.60506324618865;-1.0695403796525718
0.22;1923.3013803363767;2047.8215699784093;2019.7546273986754;1993.5578860911464;3804.950124561859;3890.3271754690936;7478.517181210658;7956.454961016042;3.857871273318454;2.799659456611595;1.2387728643403342;-0.15291808224580478;-1.24254571908891;249.70548770645937;-1.0683057385985912
0.23;1923.9457065491363;2048.54821435554;2020.3877257023555;1994.1137417886362;3802.792862000175;3658.4358812797273;7649.530234913226;8140.330919004959;3.8731556737618384;2.835410061703717;1.2470992148719198;-0.15246542078909042;-1.2351295837086802;249.79909888858012;-1.067061088651068
0.24;1924.605899688187;2049.2929687531123;2021.0362118358921;1994.6828403845452;3799.8883673424393;3535.450342650259;7918.744708183611;8431.72939498743;3.889887252792324;2.876044669172158;1.2546890372792763;-0.15199292420533964;-1.2285523582544682;249.8861581639688;-1.0658222066444787
0.25;1925.2695937155975;2050.050456178221;2021.6882557449826;1995.2551299865702;3795.9480604989417;3300.946628505141;8345.870297911;8896.388676577128;3.907970203523013;2.9226582329467545;1.2606620919575786;-0.15152076452186977;-1.2236520316983572;249.96497379147092;-1.0645818573881256
0.26;1925.9562560316854;2050.8289294828946;2022.3625308237156;1995.8464815608368;3791.556207956018;3190.9889345209644;8483.48651387544;9061.566531882117;3.9273972433238753;2.972808856973308;1.2666020641824929;-0.15101690697461004;-1.2189012774363663;250.03861430506706;-1.0633515688277473
0.27;1926.6681713816579;2051.6295432870284;2023.0612217988253;1996.4587522665095;3786.7266029391703;3222.5691826949533;8293.641223204317;8887.518890669946;3.948235649801348;3.0265156220788114;1.2726108368777658;-0.15047767321349;-1.2142084402138205;250.10648980041915;-1.0621326612733555
0.28;1927.3847659971075;2052.443521019002;2023.7646231978263;1997.0751968905954;3780.900736770077;3271.92720769042;8043.0394742906565;8658.581345049752;3.9704220881048164;3.086034717585148;1.2771043481669455;-0.14993677439220274;-1.211093102964384;250.1652159373739;-1.0609130263201212
0.29;1928.1101216052841;2053.272687336919;2024.4766508287357;1997.6991441772063;3774.1797376495438;3392.147309092039;7614.628124365271;8251.66209478868;3.9939819581030496;3.1509741000577685;1.2803817608755537;-0.14938751718714047;-1.2092691774694313;250.214891544857;-1.0596950741317392
0.3;1928.8859442390892;2054.136344904277;2025.2371474287113;1998.3644486221904;3767.2343633908927;3482.3607341145794;7429.684674582844;8077.695540680052;4.019612445437113;3.219329768286309;1.2849432535706071;-0.1487624349891927;-1.2063997683256777;250.27686137208855;-1.0585029711664464
